date,cpi_inflator_36,cpi_inflator_12
2000-01,0.060968,0.027389
2000-02,0.06391,0.032219
2000-03,0.07,0.037576
2000-04,0.069288,0.030686
2000-05,0.071205,0.031889
2000-06,0.075483,0.037304
2000-07,0.076636,0.036593
2000-08,0.074627,0.034111
2000-09,0.077543,0.034544
2000-10,0.076733,0.034483
2000-11,0.078019,0.034462
2000-12,0.078735,0.033868
2001-01,0.08354,0.037322
2001-02,0.085855,0.035336
2001-03,0.086313,0.029206
2001-04,0.088615,0.032691
2001-05,0.091523,0.036152
2001-06,0.092025,0.032483
2001-07,0.087623,0.027199
2001-08,0.086291,0.027199
2001-09,0.089853,0.026482
2001-10,0.083537,0.021264
2001-11,0.081707,0.018955
2001-12,0.078096,0.015517
2002-01,0.077906,0.011422
2002-02,0.080851,0.011377
2002-03,0.083636,0.014756
2002-04,0.081829,0.016393
2002-05,0.081829,0.011818
2002-06,0.082431,0.010674
2002-07,0.080384,0.014648
2002-08,0.081388,0.018028
2002-09,0.078023,0.015143
2002-10,0.077883,0.020259
2002-11,0.077243,0.021984
2002-12,0.074866,0.023769
2003-01,0.076422,0.025974
2003-02,0.078327,0.029809
2003-03,0.075935,0.030201
2003-04,0.072971,0.022247
2003-05,0.069971,0.020578
2003-06,0.065545,0.021123
2003-07,0.064236,0.021099
2003-08,0.068287,0.021583
2003-09,0.066206,0.023204
2003-10,0.063218,0.020408
2003-11,0.059736,0.01765
2003-12,0.059195,0.018795
2004-01,0.057681,0.019263
2004-02,0.059158,0.016931
2004-03,0.063564,0.017372
2004-04,0.062747,0.022851
2004-05,0.064153,0.030518
2004-06,0.06573,0.032662
2004-07,0.067042,0.029908
2004-08,0.067606,0.026544
2004-09,0.065059,0.025378
2004-10,0.074282,0.031892
2004-11,0.076663,0.03523
2004-12,0.076967,0.032556
2005-01,0.076793,0.029698
2005-02,0.07874,0.030075
2005-03,0.081096,0.031483
2005-04,0.082314,0.035106
2005-05,0.081201,0.028027
2005-06,0.081156,0.025303
2005-07,0.084953,0.031679
2005-08,0.086884,0.036412
2005-09,0.098343,0.046867
2005-10,0.098731,0.043478
2005-11,0.089906,0.034555
2005-12,0.087894,0.034157
2006-01,0.091359,0.039853
2006-02,0.085199,0.035975
2006-03,0.084691,0.033626
2006-04,0.0963,0.035457
2006-05,0.103542,0.041667
2006-06,0.104518,0.043188
2006-07,0.10658,0.041453
2006-08,0.10455,0.038187
2006-09,0.095572,0.020624
2006-10,0.090811,0.013052
2006-11,0.092141,0.019737
2006-12,0.094954,0.025407
2007-01,0.092959,0.020756
2007-02,0.092905,0.024152
2007-03,0.095795,0.027788
2007-04,0.099394,0.025737
2007-05,0.099677,0.026909
2007-06,0.098324,0.02687
2007-07,0.099784,0.023582
2007-08,0.097187,0.019701
2007-09,0.097894,0.027551
2007-10,0.094479,0.035362
2007-11,0.100403,0.043062
2007-12,0.10371,0.040813
2008-01,0.106869,0.042803
2008-02,0.103717,0.040266
2008-03,0.104646,0.039815
2008-04,0.103921,0.039369
2008-05,0.114362,0.041755
2008-06,0.125013,0.050218
2008-07,0.125711,0.056001
2008-08,0.115509,0.053719
2008-09,0.100518,0.049369
2008-10,0.087214,0.036552
2008-11,0.075025,0.010696
2008-12,0.068232,0.000914
2009-01,0.064766,0.000298
2009-02,0.067906,0.002362
2009-03,0.06461,-0.003836
2009-04,0.058263,-0.007369
2009-05,0.056079,-0.012814
2009-06,0.063051,-0.014268
2009-07,0.058236,-0.020972
2009-08,0.058529,-0.014843
2009-09,0.064411,-0.012862
2009-10,0.071244,-0.001828
2009-11,0.073598,0.018383
2009-12,0.070114,0.027213
2010-01,0.070503,0.026257
2010-02,0.065072,0.021433
2010-03,0.059795,0.02314
2010-04,0.054784,0.022364
2010-05,0.04919,0.02021
2010-06,0.046138,0.010533
2010-07,0.046625,0.012352
2010-08,0.049996,0.011481
2010-09,0.047719,0.011437
2010-10,0.046785,0.011722
2010-11,0.041042,0.011432
2010-12,0.043531,0.014957
2011-01,0.043315,0.016318
2011-02,0.045424,0.021076
2011-03,0.046547,0.026816
2011-04,0.046936,0.031636
2011-05,0.043078,0.035686
2011-06,0.031565,0.035588
2011-07,0.027086,0.036287
2011-08,0.034046,0.037712
2011-09,0.03705,0.038684
2011-10,0.045472,0.035252
2011-11,0.064988,0.033944
2011-12,0.073463,0.029624
2012-01,0.073514,0.029252
2012-02,0.072905,0.028711
2012-03,0.078431,0.026514
2012-04,0.078995,0.023027
2012-05,0.074625,0.017043
2012-06,0.06391,0.01664
2012-07,0.063863,0.014085
2012-08,0.06739,0.016924
2012-09,0.071482,0.019913
2012-10,0.070035,0.021623
2012-11,0.064212,0.017641
2012-12,0.063219,0.01741
2013-01,0.062731,0.015949
2013-02,0.071168,0.019779
2013-03,0.069576,0.014739
2013-04,0.066612,0.010631
2013-05,0.067683,0.01362
2013-06,0.071291,0.017544
2013-07,0.071487,0.019607
2013-08,0.071297,0.015184
2013-09,0.071919,0.011849
2013-10,0.067829,0.009636
2013-11,0.0652,0.012371
2013-12,0.063282,0.015017
2014-01,0.062178,0.015789
2014-02,0.060874,0.011263
2014-03,0.057395,0.015122
2014-04,0.054094,0.019529
2014-05,0.052823,0.021271
2014-06,0.055914,0.020723
2014-07,0.054568,0.019923
2014-08,0.049911,0.016996
2014-09,0.049108,0.016579
2014-10,0.048635,0.016643
2014-11,0.043854,0.013224
2014-12,0.040501,0.007565
2015-01,0.031068,-0.000893
2015-02,0.031006,-0.000251
2015-03,0.029325,-0.000736
2015-04,0.028311,-0.001995
2015-05,0.034767,-0.000399
2015-06,0.039917,0.001238
2015-07,0.041684,0.001696
2015-08,0.034452,0.001951
2015-09,0.028253,-0.000361
2015-10,0.028191,0.001706
2015-11,0.030905,0.005018
2015-12,0.030157,0.007295
2016-01,0.028817,0.013731
2016-02,0.021299,0.010178
2016-03,0.023022,0.008525
2016-04,0.028942,0.011251
2016-05,0.031269,0.010193
2016-06,0.032179,0.009973
2016-07,0.030103,0.008271
2016-08,0.029811,0.010629
2016-09,0.031087,0.014638
2016-10,0.035038,0.01636
2016-11,0.035543,0.016925
2016-12,0.035971,0.020746
2017-01,0.038146,0.025
2017-02,0.037575,0.02738
2017-03,0.031774,0.023806
2017-04,0.031433,0.021997
2017-05,0.028722,0.018749
2017-06,0.027742,0.016335
2017-07,0.027433,0.01728
2017-08,0.032234,0.01939
2017-09,0.03692,0.02233
2017-10,0.038874,0.020411
2017-11,0.044539,0.022026
2017-12,0.049878,0.021091
2018-01,0.060589,0.020705
2018-02,0.060791,0.022118
2018-03,0.056899,0.023597
2018-04,0.058948,0.024627
2018-05,0.057959,0.02801
2018-06,0.055947,0.028715
2018-07,0.055947,0.029495
2018-08,0.058032,0.026992
2018-09,0.060913,0.02277
2018-10,0.063266,0.025225
2018-11,0.061946,0.021766
2018-12,0.062184,0.019102
2019-01,0.062453,0.015512
2019-02,0.066066,0.015201
2019-03,0.067484,0.018625
2019-04,0.068072,0.019964
2019-05,0.066033,0.017902
2019-06,0.062755,0.016485
2019-07,0.066256,0.018115
2019-08,0.065223,0.017498
2019-09,0.063501,0.017113
2019-10,0.064605,0.01764
2019-11,0.065692,0.020513
2019-12,0.064374,0.022851
2020-01,0.062313,0.024866
2020-02,0.061883,0.023349
2020-03,0.058712,0.015393
2020-04,0.048523,0.003291
2020-05,0.047648,0.001179
2020-06,0.052426,0.006457
2020-07,0.05848,0.009861
2020-08,0.058647,0.013096
2020-09,0.054538,0.013713
2020-10,0.055643,0.011821
2020-11,0.054972,0.011745
2020-12,0.056587,0.01362
2021-01,0.055332,0.013998
2021-02,0.056319,0.016762
2021-03,0.061402,0.026198
2021-04,0.065888,0.041597
2021-05,0.069983,0.049927
2021-06,0.078206,0.053915
2021-07,0.083319,0.053655
2021-08,0.084955,0.052513
2021-09,0.086639,0.053903
2021-10,0.093734,0.062219
2021-11,0.102802,0.06809
2021-12,0.109735,0.070364
2022-01,0.116943,0.074799
2022-02,0.122401,0.078711
2022-03,0.131006,0.085425
2022-04,0.13133,0.082586
2022-05,0.141371,0.085815
2022-06,0.156819,0.090598
2022-07,0.154752,0.085248
2022-08,0.154402,0.082627
2022-09,0.155979,0.082017
2022-10,0.158021,0.077454
2022-11,0.157472,0.071103
2022-12,0.154969,0.064544
2023-01,0.159704,0.064101
2023-02,0.16299,0.060356
2023-03,0.169386,0.04985
2023-04,0.183214,0.049303
2023-05,0.186171,0.040476
2023-06,0.183524,0.029692
2023-07,0.179814,0.031778
2023-08,0.181242,0.036651
2023-09,0.18253,0.036997
2023-10,0.181587,0.032411
2023-11,0.179926,0.031373
2023-12,0.177645,0.033521
2024-01,0.179045,0.030909
2024-02,0.179884,0.031532
2024-03,0.179159,0.034774
2024-04,0.1741,0.033574
2024-05,0.166697,0.03269
2024-06,0.156348,0.029714
2024-07,0.152149,0.028948
2024-08,0.150709,0.025307
2024-09,0.149433,0.024406
2024-10,0.141275,0.025979
2024-11,0.135079,0.027494
2024-12,0.132004,0.028881
2025-01,0.129907,0.030005
2025-02,0.124653,0.028215
2025-03,0.112329,0.023907
2025-04,0.109599,0.023113
2025-05,0.099793,0.023549
2025-06,0.088589,0.026692
2025-07,0.090362,0.027049
2025-08,0.093882,0.029162
2025-09,0.09431,0.030127
2025-10,0.09431,0.030127
2025-11,0.088714,0.027351
2025-12,0.091837,0.026771
2026-01,0.087181,0.023864
2026-02,0.086242,0.024141
2026-03,0.086242,0.024141
2026-04,0.086242,0.024141
2026-05,0.086242,0.024141
2026-06,0.086242,0.024141
2026-07,0.086242,0.024141
2026-08,0.086242,0.024141
2026-09,0.086242,0.024141
2026-10,0.086242,0.024141
2026-11,0.086242,0.024141
2026-12,0.086242,0.024141
2027-01,0.086242,0.024141
2027-02,0.086242,0.024141
2027-03,0.086242,0.024141
2027-04,0.086242,0.024141
2027-05,0.086242,0.024141
2027-06,0.086242,0.024141
2027-07,0.086242,0.024141
2027-08,0.086242,0.024141
2027-09,0.086242,0.024141
2027-10,0.086242,0.024141
2027-11,0.086242,0.024141
2027-12,0.086242,0.024141
2028-01,0.086242,0.024141
2028-02,0.086242,0.024141
2028-03,0.086242,0.024141
2028-04,0.086242,0.024141
2028-05,0.086242,0.024141
2028-06,0.086242,0.024141
2028-07,0.086242,0.024141
2028-08,0.086242,0.024141
2028-09,0.086242,0.024141
2028-10,0.086242,0.024141
2028-11,0.086242,0.024141
2028-12,0.086242,0.024141
2029-01,0.086242,0.024141
2029-02,0.086242,0.024141
2029-03,0.086242,0.024141
2029-04,0.086242,0.024141
2029-05,0.086242,0.024141
2029-06,0.086242,0.024141
2029-07,0.086242,0.024141
2029-08,0.086242,0.024141
2029-09,0.086242,0.024141
2029-10,0.086242,0.024141
2029-11,0.086242,0.024141
2029-12,0.086242,0.024141
2030-01,0.086242,0.024141
2030-02,0.086242,0.024141
2030-03,0.086242,0.024141
2030-04,0.086242,0.024141
2030-05,0.086242,0.024141
2030-06,0.086242,0.024141
2030-07,0.086242,0.024141
2030-08,0.086242,0.024141
2030-09,0.086242,0.024141
2030-10,0.086242,0.024141
2030-11,0.086242,0.024141
2030-12,0.086242,0.024141
2031-01,0.086242,0.024141
2031-02,0.086242,0.024141
2031-03,0.086242,0.024141
2031-04,0.086242,0.024141
2031-05,0.086242,0.024141
2031-06,0.086242,0.024141
2031-07,0.086242,0.024141
2031-08,0.086242,0.024141
2031-09,0.086242,0.024141
2031-10,0.086242,0.024141
2031-11,0.086242,0.024141
2031-12,0.086242,0.024141
2032-01,0.086242,0.024141
2032-02,0.086242,0.024141
2032-03,0.086242,0.024141
2032-04,0.086242,0.024141
2032-05,0.086242,0.024141
2032-06,0.086242,0.024141
2032-07,0.086242,0.024141
2032-08,0.086242,0.024141
2032-09,0.086242,0.024141
2032-10,0.086242,0.024141
2032-11,0.086242,0.024141
2032-12,0.086242,0.024141
2033-01,0.086242,0.024141
2033-02,0.086242,0.024141
2033-03,0.086242,0.024141
2033-04,0.086242,0.024141
2033-05,0.086242,0.024141
2033-06,0.086242,0.024141
2033-07,0.086242,0.024141
2033-08,0.086242,0.024141
2033-09,0.086242,0.024141
2033-10,0.086242,0.024141
2033-11,0.086242,0.024141
2033-12,0.086242,0.024141
2034-01,0.086242,0.024141
2034-02,0.086242,0.024141
2034-03,0.086242,0.024141
2034-04,0.086242,0.024141
2034-05,0.086242,0.024141
2034-06,0.086242,0.024141
2034-07,0.086242,0.024141
2034-08,0.086242,0.024141
2034-09,0.086242,0.024141
2034-10,0.086242,0.024141
2034-11,0.086242,0.024141
2034-12,0.086242,0.024141
2035-01,0.086242,0.024141
2035-02,0.086242,0.024141
2035-03,0.086242,0.024141
2035-04,0.086242,0.024141
2035-05,0.086242,0.024141
2035-06,0.086242,0.024141
2035-07,0.086242,0.024141
2035-08,0.086242,0.024141
2035-09,0.086242,0.024141
2035-10,0.086242,0.024141
2035-11,0.086242,0.024141
2035-12,0.086242,0.024141
2036-01,0.086242,0.024141
